timestamp,robot_id,client_id,shelves,item_quantities
1718201450.4846363,0,client1,"['A', 'B', 'C', 'D']","[22, 20, 3, 19]"
1718201451.481407,1,client2,"['A', 'B', 'C', 'D']","[15, 21, 5, 3]"
1718201452.4796727,2,client3,"['A', 'B', 'C', 'D']","[4, 18, 25, 16]"
1718201453.4792068,3,client4,"['A', 'B', 'C', 'D']","[3, 6, 17, 3]"
1718201513.2146587,0,client5,"['A', 'B', 'C', 'D']","[2, 23, 2, 6]"
1718201514.2165813,1,client6,"['A', 'B', 'C', 'D']","[2, 18, 15, 1]"
1718201515.2159407,2,client7,"['A', 'B', 'C', 'D']","[4, 24, 6, 20]"
1718201516.2214787,3,client8,"['A', 'B', 'C', 'D']","[24, 4, 13, 15]"
1718201540.3616576,0,client9,"['A', 'B', 'C', 'D']","[24, 11, 2, 23]"
1718201541.3622308,1,client10,"['A', 'B', 'C', 'D']","[14, 5, 2, 15]"
1718201542.3620436,2,client11,"['A', 'B', 'C', 'D']","[6, 23, 9, 20]"
1718201543.3620389,3,client12,"['A', 'B', 'C', 'D']","[12, 14, 8, 18]"
1718201566.0563464,0,client13,"['A', 'B', 'C', 'D']","[16, 1, 18, 4]"
1718201567.0574439,1,client14,"['A', 'B', 'C', 'D']","[19, 4, 4, 11]"
1718201568.056674,2,client15,"['A', 'B', 'C', 'D']","[17, 17, 12, 19]"
1718201569.062019,3,client16,"['A', 'B', 'C', 'D']","[23, 5, 2, 11]"
1718201596.4331388,0,client17,"['A', 'B', 'C', 'D']","[21, 2, 5, 16]"
1718201597.4342477,1,client18,"['A', 'B', 'C', 'D']","[9, 4, 5, 1]"
1718201598.4347792,2,client19,"['A', 'B', 'C', 'D']","[14, 15, 16, 12]"
1718201599.4425278,3,client20,"['A', 'B', 'C', 'D']","[6, 2, 7, 13]"
