Client,Shelf_1,Shelf_2,Shelf_3,Shelf_4,Quantity_1,Quantity_2,Quantity_3,Quantity_4
client1,A,B,C,D,22,20,3,19
client2,A,B,C,D,15,21,5,3
client3,A,B,C,D,4,18,25,16
client4,A,B,C,D,3,6,17,3
client5,A,B,C,D,2,23,2,6
client6,A,B,C,D,2,18,15,1
client7,A,B,C,D,4,24,6,20
client8,A,B,C,D,24,4,13,15
client9,A,B,C,D,24,11,2,23
client10,A,B,C,D,14,5,2,15
client11,A,B,C,D,6,23,9,20
client12,A,B,C,D,12,14,8,18
client13,A,B,C,D,16,1,18,4
client14,A,B,C,D,19,4,4,11
client15,A,B,C,D,17,17,12,19
client16,A,B,C,D,23,5,2,11
client17,A,B,C,D,21,2,5,16
client18,A,B,C,D,9,4,5,1
client19,A,B,C,D,14,15,16,12
client20,A,B,C,D,6,2,7,13
client21,A,B,C,D,16,21,23,15
client22,A,B,C,D,8,10,11,16
client23,A,B,C,D,22,5,15,24
client24,A,B,C,D,19,5,9,21
client25,A,B,C,D,25,15,16,16
client26,A,B,C,D,24,5,2,7
client27,A,B,C,D,19,22,13,9
client28,A,B,C,D,15,13,11,19
client29,A,B,C,D,13,7,13,12
client30,A,B,C,D,14,12,1,8
client31,A,B,C,D,7,10,2,24
client32,A,B,C,D,16,3,9,22
client33,A,B,C,D,1,2,21,15
client34,A,B,C,D,13,14,3,13
client35,A,B,C,D,9,2,4,11
client36,A,B,C,D,8,3,10,2
client37,A,B,C,D,3,6,24,4
client38,A,B,C,D,25,3,7,12
client39,A,B,C,D,3,9,1,12
client40,A,B,C,D,23,7,15,11
client41,A,B,C,D,20,5,10,9
client42,A,B,C,D,12,22,17,6
client43,A,B,C,D,14,18,20,21
client44,A,B,C,D,21,17,2,23
client45,A,B,C,D,25,1,16,13
client46,A,B,C,D,1,15,5,19
client47,A,B,C,D,4,16,17,18
client48,A,B,C,D,12,7,3,7
client49,A,B,C,D,12,18,19,23
client50,A,B,C,D,13,20,21,2
client51,A,B,C,D,22,21,8,5
client52,A,B,C,D,6,18,14,2
client53,A,B,C,D,10,1,14,17
client54,A,B,C,D,19,15,21,25
client55,A,B,C,D,13,16,1,16
client56,A,B,C,D,6,16,4,4
client57,A,B,C,D,11,21,19,21
client58,A,B,C,D,7,4,12,17
client59,A,B,C,D,9,16,21,22
client60,A,B,C,D,18,13,1,17
client61,A,B,C,D,22,5,22,13
client62,A,B,C,D,18,25,19,15
client63,A,B,C,D,11,12,5,23
client64,A,B,C,D,15,24,15,21
client65,A,B,C,D,7,14,22,21
client66,A,B,C,D,24,7,21,12
client67,A,B,C,D,21,19,12,21
client68,A,B,C,D,18,22,21,4
client69,A,B,C,D,1,15,12,19
client70,A,B,C,D,3,9,24,5
client71,A,B,C,D,11,12,14,19
client72,A,B,C,D,3,1,17,6
client73,A,B,C,D,15,20,2,11
client74,A,B,C,D,25,8,22,2
client75,A,B,C,D,11,20,8,12
client76,A,B,C,D,15,1,6,22
client77,A,B,C,D,13,17,23,23
client78,A,B,C,D,13,9,19,19
client79,A,B,C,D,4,21,4,16
client80,A,B,C,D,16,13,25,16
client81,A,B,C,D,14,18,16,19
client82,A,B,C,D,20,12,10,4
client83,A,B,C,D,23,10,23,25
client84,A,B,C,D,5,24,4,13
client85,A,B,C,D,3,18,7,3
client86,A,B,C,D,3,10,25,16
client87,A,B,C,D,10,17,22,23
client88,A,B,C,D,10,9,24,21
client89,A,B,C,D,8,13,15,19
client90,A,B,C,D,13,9,21,3
client91,A,B,C,D,19,5,7,20
client92,A,B,C,D,6,15,21,14
client93,A,B,C,D,1,25,14,8
client94,A,B,C,D,9,14,22,11
client95,A,B,C,D,6,17,5,1
client96,A,B,C,D,19,11,8,13
client97,A,B,C,D,11,23,10,16
client98,A,B,C,D,13,17,19,4
client99,A,B,C,D,16,7,11,1
client100,A,B,C,D,21,17,21,13
